a,c,g,j,k,Y
185.99,48.75,246.41,11.782,173.23,16.509
185.37,40.707,243.84,11.645,171.45,16.343
185.55,40.638000000000005,223.66,11.751,170.77,16.433
187.04,40.638000000000005,225.11,11.728,171.16,16.433
205.8,30.112,195.67,11.684000000000001,193.45,16.455
207.05,35.658,216.07,11.998,195.5,17.194000000000003
207.99,34.69,222.52,11.915,195.45,17.449
209.22,34.463,220.69,12.04,196.56,17.449
209.53,37.147,224.51,11.952,197.27,17.447
194.58,29.983,200.55,11.722999999999999,184.94,18.117
197.35,34.64,208.77,11.845999999999998,186.01,19.016
205.39,37.153,225.52,12.284,190.66,18.842
210.36,38.591,234.23,12.323,190.67,18.954
209.74,39.597,227.81,12.398,191.24,18.767
208.77,41.38,238.59,12.41,191.54,18.677
211.59,41.876999999999995,246.26,12.355,196.07,18.58
208.28,43.088,251.87,12.352,194.04,18.892
209.71,46.1,257.46,12.352,189.81,18.488
204.05,43.842,245.68,12.264000000000001,190.59,17.819000000000003
202.61,45.342,240.42,12.242,189.26,18.298
206.3,41.742,243.64,12.255,192.75,18.293
207.08,38.673,244.34,12.174000000000001,192.88,18.625
206.08,40.21,245.31,12.17,192.88,18.442
206.16,42.615,245.31,12.118,192.71,18.489
205.78,42.798,245.19,12.152999999999999,194.26,18.489
206.05,42.007,245.59,12.145999999999999,193.47,18.395
210.35,42.381,264.97,12.163,193.77,18.677
209.39,44.27,263.77,12.177999999999999,194.0,18.785
207.4,45.262,245.89,12.117,194.71,18.629
208.22,43.617,245.81,12.095999999999998,194.11,18.159000000000002
209.0,48.88399999999999,245.8,12.095999999999998,193.41,18.307000000000002
208.39,41.68899999999999,246.37,12.095,197.43,18.307000000000002
206.39,39.42,246.67,12.082,196.32,18.307000000000002
204.46,42.618,258.01,12.128,197.19,18.733
201.15,42.618,248.68,12.142999999999999,196.49,18.526
196.82,42.382,229.63,12.142000000000001,190.4,18.323
197.73,35.943000000000005,222.73,12.137,187.78,18.205
200.17,49.946999999999996,241.64,12.262,188.76,18.809
200.48,45.43899999999999,245.3,12.295,189.22,18.807000000000002
201.45,41.527,248.4,12.185,187.76,18.807000000000002
199.92,42.097,250.55,12.127,188.49,19.092
201.83,43.343999999999994,258.34,12.311,187.01,19.307000000000002
200.23,45.63,264.02,12.177999999999999,186.4,19.405
196.04,41.669,244.89,12.187999999999999,188.01,18.519000000000002
198.59,39.589,249.23,12.187000000000001,186.94,18.989
199.24,41.121,246.82,12.138,186.61,19.137999999999998
200.9,39.953,248.59,12.249,186.61,19.185
200.01,38.864000000000004,249.73,12.235,186.68,19.167
201.13,41.735,248.92,12.137,184.89,19.352999999999998
201.13,41.103,249.29,12.184000000000001,184.58,19.045
200.89,40.334,249.77,12.195,186.2,19.245
196.74,40.45,237.24,12.097000000000001,186.61,18.634
199.82,41.667,243.51,12.167,185.65,18.903
195.44,40.988,236.14,11.912,184.21,18.566
189.6,45.262,223.33,11.522,177.75,18.351
190.07,39.031,228.07,11.548,177.41,18.688
182.73,50.577,239.86,11.692,170.77,18.839000000000002
183.65,46.988,248.23,11.696,173.55,19.547
183.66,52.586999999999996,257.56,11.735999999999999,172.4,19.507
183.66,42.13,252.18,11.718,173.92,19.363
166.55,46.652,209.4,11.184000000000001,158.29,13.963
166.82,43.961000000000006,221.14,11.091,156.81,18.184
166.82,35.253,224.83,11.097000000000001,156.33,18.184
166.75,35.253,217.36,10.99,156.89,18.139
166.72,35.238,221.48,11.037,158.03,18.15
166.72,37.448,228.41,11.062999999999999,157.36,18.824
166.9,40.707,234.45,11.054,156.73,18.838
167.18,41.343,235.51,11.050999999999998,156.49,18.708
165.27,43.527,220.02,11.043,157.29,17.525
165.02,39.314,231.06,11.048,157.88,18.988
166.9,38.11,226.09,11.099,158.13,18.479
166.84,38.092,222.41,11.067,157.27,18.158
167.71,39.152,220.68,11.084000000000001,157.9,18.05
167.13,39.152,220.16,11.07,158.78,17.937
168.19,38.936,229.86,11.130999999999998,158.08,18.276
168.19,38.936,231.83,11.123,155.5,18.769000000000002
168.47,37.623000000000005,233.55,11.123,155.23,18.552
166.45,35.692,229.02,11.103,157.59,18.145
156.79,31.771,187.27,10.564,147.97,13.604000000000001
155.42,37.211,205.34,10.433,145.39,17.241
155.9,32.859,207.28,10.325,146.72,17.261
157.17,31.366,200.51,10.389000000000001,147.81,17.261
161.75,33.765,214.05,10.414000000000001,152.97,17.48
161.44,36.58,237.44,10.341,152.7,17.581
150.85,36.58,230.59,9.8376,141.76,17.508
152.17,35.346,234.51,9.7463,142.15,16.114
152.17,36.937,246.46,9.7388,141.19,16.447
152.21,37.848,259.2,9.6486,140.8,16.49
151.61,37.073,253.63,9.7032,140.45,16.766
150.97,37.402,250.77,9.7648,139.71,16.747
151.35,36.066,248.54,9.7258,138.85,16.492
151.78,36.961,246.9,9.7445,138.23,16.574
151.45,34.868,246.96,9.7509,138.55,16.61
151.37,35.488,247.92,9.7049,138.83,16.61
150.49,36.376,248.98,9.7069,139.46,16.257
151.73,36.638000000000005,244.73,9.7451,140.23,16.631
151.44,33.868,250.34,9.7349,140.34,16.685
153.21,35.906,251.78,9.742,140.62,16.575
148.04,35.906,251.81,9.6825,136.78,16.57
145.92,36.024,251.51,9.7522,136.41,16.59
148.91,35.938,247.17,9.7118,135.95,16.79
148.37,34.25,247.06,9.7164,136.98,16.46
148.13,34.334,249.81,9.7286,138.44,16.676
132.93,34.334,182.77,9.7286,126.49,16.676
143.85,34.77,212.06,9.7363,134.24,16.739
144.41,35.56,229.52,9.7363,133.94,16.461
144.29,42.217,258.07,9.7301,134.65,17.692999999999998
143.52,41.06100000000001,246.16,9.7611,133.33,16.027
143.09,41.13399999999999,252.8,9.7231,132.49,18.976
143.17,39.64,219.56,9.6959,133.17,16.79
142.96,33.778,222.7,9.6434,132.22,16.798
144.07,35.701,222.7,9.7392,131.97,16.798
142.2,34.262,222.77,9.6849,131.68,16.852
141.13,39.559,230.9,9.718,131.5,16.822
162.22,54.458999999999996,234.91,10.463,154.52,20.000999999999998
161.57,35.968,234.91,10.645,155.48,18.37
165.58,35.755,239.14,10.809000000000001,159.39,19.014
170.4,31.396,246.32,11.099,162.24,19.2
169.82,40.888000000000005,244.71,11.094000000000001,163.03,19.099
166.49,29.641,217.93,10.839,160.78,19.355
172.23,32.489000000000004,218.27,10.865,163.96,19.055
171.58,32.489000000000004,223.96,10.974,164.09,19.015
171.08,39.503,228.57,10.949000000000002,163.62,19.098
169.97,39.503,235.37,10.967,165.09,19.291
170.59,40.998000000000005,241.74,11.037,162.01,19.250999999999998
171.45,37.334,239.16,10.995999999999999,163.79,19.124000000000002
